role,department,resource,resource_sensitivity,hour,is_unusual_time,known_device,location_match,role_resource_match,failed_attempts,request_frequency,credential_valid,previous_behavior_score,risk_score,risk_label
DevOps Engineer,IT,Finance System,3,12.64,0,1,1,0,0,0.14,1,0.8,31.6,MEDIUM
Finance Analyst,HR,HR Database,3,8.7,0,1,1,1,0,3.31,1,0.807,12.1,LOW
QA Engineer,IT,Development Server,2,7.24,0,1,1,0,0,3.88,1,0.657,29.4,LOW
DevOps Engineer,IT,GitHub Project Alpha,1,13.74,0,1,1,0,0,4.42,1,0.677,22.1,LOW
DevOps Engineer,IT,Production Database,4,16.88,0,1,1,1,1,4.87,1,0.68,19.4,LOW
Contractor,IT,Development Server,2,18.39,0,0,1,0,1,4.46,1,0.779,54.5,MEDIUM
System Administrator,Finance,Project Management System,1,21.22,1,0,0,1,1,14.27,1,0.22,98.0,HIGH
QA Engineer,Finance,Development Server,2,8.22,0,1,1,0,0,0.81,1,0.806,25.7,LOW
Product Manager,HR,Project Management System,1,22.01,1,0,1,1,2,9.21,1,0.576,75.7,HIGH
Product Manager,Engineering,GitHub Project Alpha,1,23.34,1,0,0,1,5,12.83,1,0.09,100.0,HIGH
Contractor,HR,GitHub Project Alpha,1,4.8,1,0,1,0,0,12.62,1,0.514,88.9,HIGH
DevOps Engineer,Finance,GitHub Project Alpha,1,14.19,0,0,1,0,0,0.22,1,0.975,46.5,MEDIUM
HR Specialist,Engineering,Development Server,2,1.87,1,0,0,1,1,6.25,1,0.597,74.6,HIGH
Software Developer,IT,HR Database,3,13.69,0,1,1,0,0,3.28,1,0.955,31.7,MEDIUM
HR Specialist,Product,Development Server,2,17.82,0,1,1,0,0,4.95,0,0.935,36.8,MEDIUM
HR Specialist,Finance,Development Server,2,22.14,1,0,0,0,0,8.51,1,0.267,98.1,HIGH
Finance Analyst,IT,Project Management System,1,21.93,1,1,0,1,0,8.7,1,0.121,64.8,MEDIUM
Software Developer,Engineering,Project Management System,1,8.87,0,1,1,1,0,1.52,1,0.834,4.4,LOW
QA Engineer,IT,Production Database,4,16.37,0,1,1,1,1,3.22,1,0.934,21.8,LOW
System Administrator,IT,Development Server,2,16.79,0,1,1,0,0,4.13,1,0.957,26.9,LOW
Product Manager,Engineering,GitHub Project Alpha,1,23.88,1,0,0,1,5,3.23,1,0.147,98.1,HIGH
Contractor,Engineering,Finance System,3,18.67,0,1,1,0,0,1.26,1,0.706,32.3,MEDIUM
Product Manager,Product,Finance System,3,12.98,0,1,1,0,0,3.83,1,0.857,25.5,LOW
QA Engineer,HR,Project Management System,1,16.01,0,1,1,1,0,0.3,1,0.869,5.3,LOW
Contractor,HR,Finance System,3,13.04,0,1,1,0,1,1.0,1,0.975,31.9,MEDIUM
Contractor,Engineering,Admin Panel,4,19.93,0,0,1,0,0,0.37,1,0.899,49.1,MEDIUM
Finance Analyst,Product,HR Database,3,13.61,0,1,1,0,0,2.49,1,0.758,27.2,LOW
Contractor,Finance,Production Database,4,8.83,0,1,1,0,0,0.01,1,0.936,27.6,LOW
Product Manager,Engineering,Finance System,3,2.23,1,0,0,0,2,13.25,1,0.031,100.0,HIGH
QA Engineer,Product,Project Management System,1,11.1,0,1,1,1,0,4.42,1,0.852,7.3,LOW
Product Manager,Engineering,GitHub Project Alpha,1,12.34,0,1,1,1,0,2.43,1,0.82,1.7,LOW
System Administrator,HR,Project Management System,1,23.93,1,0,1,1,3,9.69,1,0.1,91.2,HIGH
Product Manager,IT,Admin Panel,4,9.86,0,1,0,1,0,2.14,1,0.698,30.4,MEDIUM
DevOps Engineer,HR,Development Server,2,17.52,0,1,1,0,0,1.91,1,0.684,26.3,LOW
Software Developer,Finance,Project Management System,1,11.68,0,1,1,1,0,0.46,1,0.754,6.1,LOW
System Administrator,HR,Admin Panel,4,19.58,0,1,1,0,0,4.84,1,0.629,37.1,MEDIUM
Contractor,Finance,Development Server,2,9.91,0,1,0,0,0,4.71,1,0.859,48.5,MEDIUM
Contractor,Engineering,HR Database,3,7.02,0,1,1,0,0,3.23,1,0.651,29.0,LOW
System Administrator,Engineering,GitHub Project Alpha,1,22.75,1,0,0,1,0,3.13,1,0.276,68.4,MEDIUM
Product Manager,Finance,HR Database,3,23.88,1,1,1,0,5,10.77,1,0.137,99.4,HIGH
Finance Analyst,Product,Production Database,4,22.26,1,1,0,0,5,13.14,1,0.297,97.6,HIGH
Product Manager,Product,Production Database,4,21.88,1,0,0,0,3,8.0,1,0.569,97.2,HIGH
System Administrator,Engineering,Development Server,2,3.58,1,1,0,1,5,13.6,1,0.599,100.0,HIGH
Finance Analyst,Product,Development Server,2,13.82,0,1,1,0,0,4.2,0,0.777,39.1,MEDIUM
DevOps Engineer,HR,GitHub Project Alpha,1,19.42,0,1,0,0,0,1.9,1,0.723,47.7,MEDIUM
DevOps Engineer,Engineering,Finance System,3,11.85,0,1,1,0,0,3.69,1,0.853,27.0,LOW
System Administrator,Engineering,Production Database,4,23.76,1,1,1,1,4,7.07,1,0.575,72.5,HIGH
HR Specialist,HR,Project Management System,1,4.33,1,1,1,1,3,11.59,1,0.466,79.2,HIGH
System Administrator,Finance,Development Server,2,9.38,0,1,1,0,0,3.04,1,0.728,26.6,LOW
DevOps Engineer,IT,Development Server,2,9.08,0,1,1,0,0,2.76,1,0.992,28.1,LOW
DevOps Engineer,HR,HR Database,3,22.5,1,1,1,1,3,10.44,1,0.449,82.0,HIGH
DevOps Engineer,HR,Project Management System,1,21.76,1,1,1,1,1,5.83,1,0.545,31.7,MEDIUM
DevOps Engineer,Finance,Project Management System,1,13.6,0,1,1,1,0,4.95,1,0.79,7.2,LOW
Contractor,HR,GitHub Project Alpha,1,10.03,0,1,1,0,1,0.97,1,0.805,29.9,LOW
HR Specialist,Engineering,GitHub Project Alpha,1,16.23,0,1,1,1,0,0.71,1,0.702,6.3,LOW
Product Manager,Engineering,Admin Panel,4,15.82,0,1,1,0,0,0.16,1,0.793,31.3,MEDIUM
System Administrator,IT,Development Server,2,8.18,0,1,1,0,0,4.94,1,0.767,23.7,LOW
Finance Analyst,Finance,Production Database,4,4.6,1,0,0,0,0,8.21,1,0.068,96.7,HIGH
Finance Analyst,Finance,Admin Panel,4,22.65,1,1,0,0,2,11.85,1,0.209,97.3,HIGH
QA Engineer,Engineering,GitHub Project Alpha,1,16.8,0,1,1,1,0,0.63,1,0.99,2.5,LOW
Software Developer,IT,Finance System,3,18.75,0,1,1,0,0,3.2,1,0.848,29.9,LOW
Product Manager,Finance,Development Server,2,7.54,0,0,1,0,0,0.62,1,0.89,49.3,MEDIUM
Software Developer,IT,Admin Panel,4,7.5,0,1,1,1,1,2.28,1,0.911,20.1,LOW
HR Specialist,IT,Development Server,2,15.56,0,1,1,0,0,0.02,0,0.786,41.7,MEDIUM
Contractor,Product,Admin Panel,4,8.39,0,1,1,0,0,4.01,1,0.863,27.7,LOW
QA Engineer,Engineering,Finance System,3,16.37,0,1,1,0,0,3.26,1,0.61,27.9,LOW
DevOps Engineer,Product,Development Server,2,13.39,0,0,0,0,0,3.43,1,0.688,70.8,HIGH
HR Specialist,Product,Project Management System,1,10.57,0,1,1,1,1,4.82,1,0.837,13.1,LOW
Product Manager,HR,Project Management System,1,21.48,1,0,0,1,1,12.51,1,0.461,96.4,HIGH
Finance Analyst,Finance,HR Database,3,15.95,0,1,1,0,1,3.15,1,0.919,34.4,MEDIUM
Finance Analyst,IT,Development Server,2,16.94,0,1,1,0,0,1.48,1,0.724,31.5,MEDIUM
Finance Analyst,Engineering,Finance System,3,22.85,1,0,0,0,0,4.58,1,0.392,84.8,HIGH
Software Developer,IT,Project Management System,1,13.8,0,1,1,1,0,2.95,1,0.85,3.8,LOW
QA Engineer,Engineering,Admin Panel,4,0.9,1,0,0,0,3,12.74,0,0.034,100.0,HIGH
Finance Analyst,IT,Finance System,3,14.82,0,1,1,0,0,4.52,1,0.813,28.6,LOW
Product Manager,Product,GitHub Project Alpha,1,8.36,0,1,1,1,0,0.71,1,0.843,4.1,LOW
System Administrator,IT,Development Server,2,7.83,0,1,0,0,0,3.58,1,0.938,47.6,MEDIUM
Contractor,Engineering,Finance System,3,9.28,0,0,1,0,0,0.62,1,0.97,51.3,MEDIUM
HR Specialist,Engineering,Project Management System,1,15.83,0,1,0,1,0,1.48,1,0.958,19.6,LOW
Software Developer,Product,Project Management System,1,17.94,0,1,1,1,0,0.96,1,0.84,3.1,LOW
Contractor,Finance,Admin Panel,4,7.08,0,1,0,0,0,2.85,1,0.685,54.1,MEDIUM
DevOps Engineer,IT,Development Server,2,0.16,1,0,1,0,0,3.37,1,0.386,62.5,MEDIUM
DevOps Engineer,Engineering,GitHub Project Alpha,1,16.9,0,1,0,1,1,4.46,1,0.947,34.3,MEDIUM
System Administrator,Engineering,Development Server,2,0.67,1,0,0,1,2,8.73,1,0.475,100.0,HIGH
HR Specialist,HR,Project Management System,1,7.27,0,1,1,1,0,4.55,1,0.841,3.9,LOW
HR Specialist,IT,Finance System,3,2.48,1,0,0,0,4,9.79,1,0.497,100.0,HIGH
HR Specialist,Product,Production Database,4,1.21,1,1,0,0,3,11.34,1,0.58,100.0,HIGH
HR Specialist,IT,Development Server,2,23.1,1,1,0,0,0,8.88,0,0.337,96.8,HIGH
Finance Analyst,HR,GitHub Project Alpha,1,12.13,0,1,1,0,0,1.86,1,0.771,25.1,LOW
QA Engineer,Finance,Finance System,3,2.77,1,0,0,1,1,13.42,1,0.332,98.6,HIGH
Contractor,Finance,Finance System,3,14.53,0,1,1,1,0,2.54,1,0.902,11.1,LOW
QA Engineer,Product,Development Server,2,14.84,0,1,1,0,0,1.29,1,0.998,22.3,LOW
DevOps Engineer,Product,Production Database,4,21.91,1,0,1,0,5,13.94,1,0.531,99.7,HIGH
Software Developer,Finance,Admin Panel,4,16.01,0,1,1,0,0,0.11,1,0.895,27.1,LOW
Product Manager,Finance,Finance System,3,16.74,0,1,1,1,1,4.26,1,0.857,16.6,LOW
Finance Analyst,HR,Finance System,3,18.63,0,1,1,0,0,1.25,1,0.782,30.7,MEDIUM
System Administrator,IT,Finance System,3,18.35,0,1,1,0,0,1.94,1,0.99,23.9,LOW
Product Manager,Product,Finance System,3,19.23,0,1,1,0,1,2.28,1,0.79,33.7,MEDIUM
Finance Analyst,IT,Project Management System,1,19.32,0,1,1,1,0,2.57,1,0.892,4.5,LOW
Software Developer,HR,Project Management System,1,7.8,0,1,0,1,0,2.9,1,0.721,24.5,LOW
Product Manager,Finance,Production Database,4,0.78,1,0,0,0,1,12.78,1,0.4,100.0,HIGH
System Administrator,Finance,Project Management System,1,15.44,0,1,1,1,0,1.34,1,0.701,4.9,LOW
QA Engineer,Finance,GitHub Project Alpha,1,17.39,0,1,1,0,0,2.4,1,0.855,25.2,LOW
Finance Analyst,Product,Project Management System,1,7.74,0,1,0,1,0,2.65,1,0.833,25.4,LOW
Product Manager,Engineering,Finance System,3,3.65,1,1,0,0,1,5.5,1,0.321,80.7,HIGH
DevOps Engineer,IT,Admin Panel,4,10.86,0,1,1,1,0,3.71,1,0.953,10.9,LOW
HR Specialist,Finance,Development Server,2,13.15,0,1,1,0,0,3.5,1,0.666,29.1,LOW
Software Developer,Product,Admin Panel,4,16.05,0,1,1,0,0,1.87,1,0.984,26.8,LOW
Finance Analyst,Engineering,GitHub Project Alpha,1,15.87,0,0,1,1,0,2.55,1,0.959,19.2,LOW
System Administrator,Product,Project Management System,1,3.95,1,0,0,1,2,9.65,1,0.176,100.0,HIGH
System Administrator,HR,HR Database,3,18.35,0,1,1,1,0,3.96,1,0.727,8.6,LOW
DevOps Engineer,Engineering,Production Database,4,18.51,0,1,1,1,0,0.54,1,0.929,10.5,LOW
Software Developer,IT,HR Database,3,15.02,0,1,1,0,1,4.38,1,0.616,40.4,MEDIUM
QA Engineer,Engineering,Finance System,3,0.22,1,0,0,0,2,9.75,1,0.181,99.4,HIGH
Finance Analyst,Engineering,Production Database,4,14.52,0,1,1,1,1,0.2,1,0.924,19.4,LOW
System Administrator,Finance,GitHub Project Alpha,1,2.32,1,0,0,0,0,4.0,1,0.537,83.1,HIGH
System Administrator,Engineering,GitHub Project Alpha,1,8.58,0,0,1,1,0,0.64,1,0.888,21.6,LOW
QA Engineer,Engineering,Project Management System,1,16.28,0,1,1,1,0,1.47,1,0.799,5.9,LOW
HR Specialist,Engineering,Finance System,3,0.36,1,0,0,0,4,4.99,0,0.292,96.5,HIGH
Finance Analyst,IT,Finance System,3,15.8,0,1,1,0,0,4.77,1,0.921,28.1,LOW
Contractor,HR,Admin Panel,4,11.34,0,1,1,0,1,1.66,1,0.991,40.7,MEDIUM
HR Specialist,IT,Production Database,4,10.2,0,1,1,1,0,4.04,1,0.601,12.1,LOW
System Administrator,Product,HR Database,3,16.92,0,1,1,0,0,4.06,1,0.829,27.4,LOW
Contractor,HR,HR Database,3,3.32,1,0,0,1,1,6.71,1,0.237,88.4,HIGH
HR Specialist,IT,Admin Panel,4,22.62,1,0,1,1,4,9.25,1,0.5,98.6,HIGH
Product Manager,Product,Development Server,2,23.1,1,0,0,0,4,13.28,1,0.554,99.9,HIGH
DevOps Engineer,HR,Finance System,3,8.06,0,1,1,0,0,2.6,1,0.613,35.3,MEDIUM
Contractor,IT,HR Database,3,5.55,1,0,0,0,4,14.56,1,0.023,97.6,HIGH
QA Engineer,Finance,GitHub Project Alpha,1,22.11,1,0,0,0,0,13.36,1,0.553,100.0,HIGH
DevOps Engineer,HR,Project Management System,1,15.33,0,0,1,1,0,0.91,1,0.748,22.9,LOW
Product Manager,Product,GitHub Project Alpha,1,19.24,0,1,1,1,0,4.19,1,0.915,5.0,LOW
Contractor,Engineering,GitHub Project Alpha,1,23.82,1,0,0,1,5,4.27,1,0.154,97.0,HIGH
Contractor,Finance,Development Server,2,17.5,0,1,1,0,0,3.59,1,0.614,32.3,MEDIUM
Product Manager,Engineering,HR Database,3,18.55,0,1,1,0,0,4.63,1,0.609,28.0,LOW
Finance Analyst,HR,Admin Panel,4,22.1,1,1,1,0,5,8.42,0,0.263,97.2,HIGH
System Administrator,Finance,Development Server,2,23.52,1,0,0,0,0,6.82,0,0.069,100.0,HIGH
Software Developer,Product,HR Database,3,10.72,0,1,1,0,0,2.16,1,0.695,28.5,LOW
System Administrator,HR,Production Database,4,7.75,0,1,1,0,0,2.21,1,0.804,31.5,MEDIUM
HR Specialist,Product,Project Management System,1,18.86,0,1,1,1,0,4.22,1,0.692,3.0,LOW
DevOps Engineer,Engineering,HR Database,3,16.9,0,1,1,0,0,2.91,1,0.626,33.1,MEDIUM
System Administrator,Engineering,HR Database,3,11.36,0,1,1,0,0,0.45,1,0.905,25.5,LOW
HR Specialist,Product,Development Server,2,19.81,0,1,1,0,1,2.97,1,0.808,34.5,MEDIUM
DevOps Engineer,Engineering,Project Management System,1,17.61,0,1,1,1,0,2.88,1,0.717,2.2,LOW
Contractor,Finance,HR Database,3,4.83,1,0,1,0,1,5.01,1,0.333,80.9,HIGH
Software Developer,Engineering,Finance System,3,10.4,0,1,1,0,0,2.61,1,0.641,34.0,MEDIUM
QA Engineer,Engineering,Project Management System,1,22.5,1,1,1,1,1,9.5,1,0.136,58.0,MEDIUM
Contractor,Finance,Development Server,2,7.24,0,1,1,0,1,4.2,1,0.758,38.9,MEDIUM
Finance Analyst,HR,Production Database,4,22.31,1,0,0,0,0,6.9,1,0.408,98.8,HIGH
System Administrator,Engineering,Project Management System,1,1.12,1,0,1,1,1,8.05,1,0.599,64.4,MEDIUM
Software Developer,Engineering,GitHub Project Alpha,1,15.07,0,1,1,1,1,4.03,1,0.64,11.1,LOW
Software Developer,Finance,Development Server,2,10.74,0,1,1,0,0,0.3,1,0.968,28.5,LOW
DevOps Engineer,Finance,HR Database,3,8.93,0,1,1,0,0,4.58,1,0.71,32.3,MEDIUM
HR Specialist,Finance,HR Database,3,9.88,0,1,1,0,0,2.3,1,0.845,28.8,LOW
HR Specialist,Engineering,Development Server,2,9.45,0,1,0,1,0,0.06,1,0.945,23.5,LOW
Finance Analyst,Finance,Project Management System,1,5.93,1,1,1,1,2,8.28,1,0.233,57.1,MEDIUM
DevOps Engineer,IT,Development Server,2,15.81,0,0,1,0,0,0.7,1,0.844,44.8,MEDIUM
DevOps Engineer,Finance,Project Management System,1,16.21,0,1,1,1,0,0.02,1,0.834,4.1,LOW
QA Engineer,Finance,Admin Panel,4,18.35,0,1,1,0,0,3.46,1,0.741,31.4,MEDIUM
System Administrator,HR,GitHub Project Alpha,1,18.04,0,1,1,0,0,2.68,1,0.774,23.8,LOW
Product Manager,Engineering,Admin Panel,4,11.21,0,1,1,0,0,1.02,1,0.964,26.4,LOW
Software Developer,HR,HR Database,3,10.9,0,1,1,1,1,4.99,1,0.807,18.9,LOW
System Administrator,Finance,Project Management System,1,4.06,1,0,0,1,0,7.91,1,0.389,81.6,HIGH
QA Engineer,Product,Production Database,4,12.72,0,1,0,0,0,3.46,1,0.637,52.5,MEDIUM
Finance Analyst,Engineering,Admin Panel,4,9.28,0,1,1,0,0,4.1,0,0.955,44.8,MEDIUM
QA Engineer,IT,Project Management System,1,9.7,0,1,1,1,0,3.15,1,0.741,9.0,LOW
Software Developer,Finance,GitHub Project Alpha,1,10.99,0,1,1,0,0,1.99,1,0.606,22.7,LOW
QA Engineer,Finance,Admin Panel,4,10.46,0,1,1,0,0,2.87,1,0.649,30.8,MEDIUM
DevOps Engineer,Engineering,GitHub Project Alpha,1,22.47,1,0,0,1,0,10.8,1,0.347,90.2,HIGH
Product Manager,HR,Project Management System,1,1.6,1,0,0,1,3,3.23,1,0.238,91.2,HIGH
Software Developer,Finance,GitHub Project Alpha,1,10.24,0,1,0,0,0,1.57,1,0.926,41.7,MEDIUM
HR Specialist,Finance,GitHub Project Alpha,1,2.34,1,0,0,0,5,8.81,1,0.146,97.4,HIGH
Finance Analyst,Finance,Development Server,2,22.19,1,1,0,0,3,7.03,1,0.577,97.8,HIGH
Finance Analyst,IT,Development Server,2,13.07,0,1,1,0,0,3.32,1,0.662,30.0,MEDIUM
DevOps Engineer,Product,Project Management System,1,17.24,0,1,1,1,0,0.8,1,0.889,2.6,LOW
Product Manager,HR,Production Database,4,9.95,0,1,1,0,0,2.98,1,0.996,30.3,MEDIUM
System Administrator,IT,HR Database,3,5.23,1,0,0,0,3,3.34,1,0.087,96.1,HIGH
DevOps Engineer,Product,Admin Panel,4,11.17,0,1,1,0,1,4.57,1,0.903,36.5,MEDIUM
HR Specialist,Engineering,Development Server,2,22.2,1,0,0,1,5,13.59,0,0.079,98.2,HIGH
Software Developer,HR,Finance System,3,15.98,0,1,1,0,0,1.24,1,0.741,31.1,MEDIUM
QA Engineer,HR,GitHub Project Alpha,1,3.65,1,0,0,0,3,5.38,1,0.228,96.3,HIGH
HR Specialist,Product,HR Database,3,14.41,0,1,1,0,0,3.35,1,0.974,24.7,LOW
HR Specialist,Engineering,Admin Panel,4,16.05,0,0,1,0,0,3.96,1,0.966,52.3,MEDIUM
DevOps Engineer,Finance,Finance System,3,19.98,0,1,1,1,1,0.45,1,0.77,21.2,LOW
Contractor,IT,GitHub Project Alpha,1,9.68,0,1,1,0,0,2.45,1,0.981,25.3,LOW
HR Specialist,Product,HR Database,3,21.71,1,1,1,0,2,7.17,1,0.382,72.6,HIGH
Contractor,Finance,Development Server,2,7.08,0,1,1,0,0,3.49,1,0.883,26.9,LOW
Product Manager,HR,Finance System,3,14.13,0,1,1,0,0,2.99,1,0.906,31.1,MEDIUM
DevOps Engineer,HR,GitHub Project Alpha,1,9.68,0,1,1,0,0,0.55,1,0.985,19.9,LOW
Contractor,Finance,HR Database,3,9.19,0,1,1,0,0,0.42,1,0.992,28.1,LOW
DevOps Engineer,Finance,Production Database,4,17.19,0,1,1,0,0,3.22,1,0.974,31.5,MEDIUM
HR Specialist,Product,GitHub Project Alpha,1,0.17,1,0,1,1,5,9.31,0,0.409,96.8,HIGH
HR Specialist,IT,Project Management System,1,15.41,0,1,1,1,0,2.76,1,0.933,1.1,LOW
Software Developer,Engineering,HR Database,3,18.97,0,0,1,0,0,4.72,1,0.8,46.8,MEDIUM
HR Specialist,IT,HR Database,3,8.84,0,1,1,0,0,0.45,1,0.776,27.3,LOW
Finance Analyst,Engineering,GitHub Project Alpha,1,18.12,0,1,1,1,0,0.36,1,0.884,6.8,LOW
DevOps Engineer,Finance,GitHub Project Alpha,1,17.74,0,1,1,0,0,0.02,1,0.87,24.3,LOW
Contractor,Engineering,HR Database,3,12.99,0,0,0,0,0,4.87,1,0.848,71.5,HIGH
Software Developer,HR,HR Database,3,14.35,0,1,1,1,0,1.5,1,0.954,4.2,LOW
Product Manager,Product,Finance System,3,15.99,0,1,1,0,1,2.9,1,0.812,37.9,MEDIUM
System Administrator,HR,GitHub Project Alpha,1,5.81,1,1,0,0,5,4.14,1,0.151,99.9,HIGH
Contractor,Product,HR Database,3,8.47,0,1,1,0,0,4.26,1,0.92,25.4,LOW
DevOps Engineer,IT,GitHub Project Alpha,1,15.92,0,1,0,0,0,2.82,1,0.655,48.2,MEDIUM
Software Developer,Finance,Development Server,2,0.25,1,0,1,0,1,8.11,0,0.373,100.0,HIGH
DevOps Engineer,HR,Development Server,2,17.94,0,1,1,0,0,4.13,1,0.749,29.4,LOW
Finance Analyst,Finance,GitHub Project Alpha,1,11.59,0,1,1,0,1,0.56,1,0.87,29.8,LOW
Product Manager,Finance,GitHub Project Alpha,1,14.56,0,1,1,0,0,0.37,1,0.66,29.3,LOW
System Administrator,Product,HR Database,3,14.0,0,1,1,0,0,0.07,1,0.66,30.9,MEDIUM
Software Developer,Engineering,GitHub Project Alpha,1,23.04,1,0,0,1,5,13.14,1,0.524,100.0,HIGH
DevOps Engineer,HR,Project Management System,1,11.05,0,1,1,1,0,0.85,1,0.787,5.2,LOW
System Administrator,HR,Project Management System,1,3.47,1,1,0,1,4,3.54,1,0.403,73.7,HIGH
HR Specialist,Engineering,HR Database,3,11.64,0,1,1,0,0,4.96,1,0.824,31.4,MEDIUM
Product Manager,Finance,Finance System,3,8.29,0,1,1,1,0,4.36,1,0.873,7.2,LOW
Finance Analyst,HR,HR Database,3,10.19,0,1,1,1,0,0.3,1,0.729,14.1,LOW
Contractor,IT,Project Management System,1,17.52,0,0,1,1,0,0.04,1,0.781,24.3,LOW
HR Specialist,Product,HR Database,3,21.93,1,1,1,0,0,10.02,1,0.212,75.2,HIGH
System Administrator,Engineering,Admin Panel,4,18.69,0,1,1,0,0,3.79,1,0.695,29.2,LOW
Software Developer,Finance,Production Database,4,3.62,1,1,0,0,1,10.21,1,0.486,100.0,HIGH
Finance Analyst,Product,GitHub Project Alpha,1,23.63,1,0,1,1,2,13.41,1,0.292,91.5,HIGH
Finance Analyst,Product,GitHub Project Alpha,1,17.35,0,1,1,1,0,4.94,1,0.976,5.7,LOW
Software Developer,HR,HR Database,3,11.07,0,1,1,1,0,0.78,1,0.684,10.9,LOW
DevOps Engineer,HR,Admin Panel,4,11.47,0,1,1,0,0,3.29,1,0.732,34.6,MEDIUM
HR Specialist,Finance,Admin Panel,4,22.95,1,0,0,0,4,14.29,1,0.005,99.8,HIGH
Finance Analyst,Product,Finance System,3,4.54,1,0,1,0,4,9.02,1,0.109,100.0,HIGH
Finance Analyst,Product,Development Server,2,18.12,0,1,1,0,0,3.89,1,0.993,25.1,LOW
Finance Analyst,Finance,Production Database,4,4.74,1,1,0,0,3,11.09,1,0.137,99.0,HIGH
System Administrator,Product,GitHub Project Alpha,1,1.57,1,0,0,1,3,10.71,1,0.597,97.7,HIGH
QA Engineer,Finance,Admin Panel,4,17.0,0,0,1,0,0,1.41,1,0.794,55.2,MEDIUM
QA Engineer,HR,Finance System,3,19.44,0,1,1,0,0,4.26,1,0.618,33.5,MEDIUM
Contractor,Product,Production Database,4,19.93,0,1,1,0,0,0.76,1,0.653,31.9,MEDIUM
Finance Analyst,Engineering,Admin Panel,4,21.27,1,0,0,0,3,13.58,0,0.02,97.9,HIGH
Software Developer,Engineering,Development Server,2,10.01,0,1,1,1,0,0.24,1,0.626,5.6,LOW
Contractor,Product,HR Database,3,9.33,0,1,1,0,1,2.5,1,0.741,38.1,MEDIUM
DevOps Engineer,HR,Development Server,2,19.64,0,1,1,0,0,0.08,1,0.987,22.7,LOW
Software Developer,Finance,Admin Panel,4,11.71,0,1,1,0,0,2.72,1,0.876,35.1,MEDIUM
HR Specialist,Finance,Production Database,4,12.45,0,0,1,0,0,4.41,1,0.959,51.5,MEDIUM
Product Manager,IT,HR Database,3,10.31,0,1,1,0,0,4.13,1,0.635,32.1,MEDIUM
Software Developer,Engineering,Production Database,4,11.22,0,1,1,1,0,2.28,1,0.789,13.3,LOW
Contractor,IT,Project Management System,1,19.93,0,1,1,1,0,1.78,1,0.99,0.7,LOW
Finance Analyst,Engineering,Finance System,3,15.64,0,0,1,0,0,4.54,1,0.889,48.8,MEDIUM
Contractor,IT,Development Server,2,7.86,0,1,1,0,0,2.64,1,0.695,25.4,LOW
Contractor,Product,Finance System,3,18.13,0,1,0,0,0,1.91,1,0.927,45.2,MEDIUM
QA Engineer,HR,Production Database,4,23.41,1,0,1,0,3,6.49,1,0.067,100.0,HIGH
QA Engineer,IT,Development Server,2,0.78,1,0,0,0,3,6.03,1,0.0,98.1,HIGH
QA Engineer,HR,Finance System,3,18.92,0,1,1,0,0,0.46,1,0.944,25.7,LOW
System Administrator,HR,HR Database,3,18.97,0,1,1,1,0,3.56,1,0.763,11.1,LOW
HR Specialist,HR,Development Server,2,14.52,0,0,1,0,1,1.86,1,0.732,52.2,MEDIUM
