role,department,employment_type,resource,dept_matches_resource,role_eligible_for_critical,resource_sensitivity,has_relevant_cert,project_assigned,employment_is_contractor,employment_is_intern,contract_duration_days,previously_approved_similar,label
QA Engineer,HR,Intern,HR Database,1,1,3,1,1,0,1,180,0,REVIEW
QA Engineer,Product,Contractor,HR Database,0,1,3,0,1,1,0,180,0,DENY
QA Engineer,IT,Intern,GitHub Project Alpha,0,1,1,1,0,0,1,7,0,DENY
System Administrator,HR,Intern,Admin Panel,0,1,4,1,1,0,1,14,0,DENY
HR Specialist,Product,Employee,HR Database,0,1,3,0,1,0,0,365,0,DENY
Product Manager,IT,Employee,Project Management System,1,1,1,1,0,0,0,90,1,ALLOW
Product Manager,Product,Contractor,Finance System,0,1,3,0,0,1,0,14,1,DENY
HR Specialist,HR,Employee,Finance System,0,1,3,1,1,0,0,90,0,DENY
HR Specialist,HR,Intern,Admin Panel,0,0,4,1,1,0,1,180,0,DENY
HR Specialist,IT,Intern,HR Database,0,1,3,1,0,0,1,7,0,DENY
Finance Analyst,HR,Contractor,Admin Panel,0,0,4,1,1,1,0,30,0,DENY
HR Specialist,HR,Contractor,Development Server,0,1,2,0,1,1,0,7,0,DENY
Product Manager,HR,Intern,Project Management System,1,1,1,1,0,0,1,14,0,REVIEW
Finance Analyst,IT,Employee,Finance System,0,1,3,1,0,0,0,30,0,DENY
DevOps Engineer,Product,Intern,Admin Panel,0,0,4,1,0,0,1,365,1,DENY
Product Manager,Engineering,Employee,Development Server,1,1,2,1,1,0,0,14,1,ALLOW
HR Specialist,Finance,Contractor,Finance System,1,1,3,1,0,1,0,90,1,ALLOW
Contractor,Engineering,Intern,Development Server,1,1,2,1,1,0,1,30,1,ALLOW
System Administrator,Finance,Intern,Development Server,0,1,2,0,0,0,1,14,0,DENY
QA Engineer,Engineering,Contractor,Development Server,1,1,2,1,0,1,0,60,1,ALLOW
Finance Analyst,Engineering,Contractor,Admin Panel,0,0,4,1,1,1,0,90,0,DENY
Software Developer,HR,Contractor,Finance System,0,1,3,1,1,1,0,30,1,DENY
QA Engineer,Product,Employee,HR Database,0,1,3,0,0,0,0,365,0,DENY
Product Manager,Engineering,Employee,Production Database,1,0,4,0,1,0,0,60,0,DENY
Software Developer,Product,Contractor,HR Database,0,1,3,0,1,1,0,14,1,DENY
Product Manager,Finance,Intern,Development Server,0,1,2,1,0,0,1,90,1,DENY
HR Specialist,Product,Employee,Project Management System,1,1,1,0,1,0,0,60,0,ALLOW
HR Specialist,Finance,Employee,Production Database,0,0,4,1,0,0,0,60,1,DENY
Finance Analyst,Finance,Contractor,Finance System,1,1,3,1,0,1,0,7,0,REVIEW
HR Specialist,Product,Contractor,Project Management System,1,1,1,0,1,1,0,60,0,ALLOW
Contractor,Finance,Intern,GitHub Project Alpha,0,1,1,1,1,0,1,7,0,DENY
Product Manager,Engineering,Contractor,Finance System,0,1,3,0,0,1,0,365,0,DENY
System Administrator,Finance,Contractor,Admin Panel,0,1,4,1,1,1,0,30,0,DENY
Contractor,Product,Employee,Production Database,0,0,4,0,1,0,0,90,1,DENY
HR Specialist,Product,Intern,HR Database,0,1,3,0,0,0,1,60,0,DENY
Software Developer,Finance,Contractor,Project Management System,1,1,1,0,1,1,0,365,0,ALLOW
QA Engineer,HR,Contractor,Project Management System,1,1,1,1,1,1,0,60,1,ALLOW
Contractor,IT,Contractor,Development Server,0,1,2,1,1,1,0,14,0,DENY
Contractor,Finance,Employee,Development Server,0,1,2,1,0,0,0,30,0,DENY
DevOps Engineer,Engineering,Intern,Finance System,0,1,3,0,0,0,1,180,0,DENY
QA Engineer,HR,Intern,Development Server,0,1,2,1,1,0,1,30,1,DENY
System Administrator,Engineering,Intern,Admin Panel,0,1,4,0,0,0,1,180,0,DENY
System Administrator,IT,Employee,Development Server,0,1,2,0,1,0,0,7,0,DENY
QA Engineer,Engineering,Intern,Project Management System,1,1,1,1,0,0,1,60,0,REVIEW
QA Engineer,Product,Intern,HR Database,0,1,3,1,1,0,1,7,1,DENY
QA Engineer,Engineering,Contractor,GitHub Project Alpha,1,1,1,0,1,1,0,365,0,ALLOW
Product Manager,Product,Employee,Production Database,0,0,4,1,0,0,0,365,0,DENY
Finance Analyst,Engineering,Contractor,Finance System,0,1,3,1,1,1,0,7,0,DENY
DevOps Engineer,Engineering,Intern,Finance System,0,1,3,1,1,0,1,365,0,DENY
HR Specialist,Engineering,Employee,GitHub Project Alpha,1,1,1,0,0,0,0,60,0,ALLOW
HR Specialist,Product,Intern,Development Server,0,1,2,1,0,0,1,14,0,DENY
QA Engineer,Product,Contractor,HR Database,0,1,3,1,0,1,0,365,1,DENY
System Administrator,Engineering,Contractor,Project Management System,1,1,1,0,1,1,0,90,0,ALLOW
Contractor,Engineering,Employee,Finance System,0,1,3,1,0,0,0,14,0,DENY
Finance Analyst,Engineering,Contractor,HR Database,0,1,3,1,0,1,0,180,0,DENY
DevOps Engineer,Finance,Contractor,HR Database,0,1,3,0,1,1,0,180,0,DENY
Software Developer,Finance,Employee,Production Database,0,0,4,0,1,0,0,365,0,DENY
DevOps Engineer,Product,Employee,GitHub Project Alpha,1,1,1,0,0,0,0,30,0,ALLOW
HR Specialist,Engineering,Intern,Development Server,1,1,2,1,1,0,1,180,0,ALLOW
System Administrator,Engineering,Contractor,Finance System,0,1,3,1,1,1,0,7,1,DENY
Contractor,IT,Contractor,Production Database,1,0,4,0,0,1,0,180,1,DENY
Product Manager,HR,Contractor,GitHub Project Alpha,0,1,1,1,1,1,0,180,1,DENY
HR Specialist,Product,Contractor,HR Database,0,1,3,0,0,1,0,90,1,DENY
Software Developer,Finance,Employee,Development Server,0,1,2,0,1,0,0,30,0,DENY
Contractor,Finance,Contractor,Production Database,0,0,4,1,0,1,0,90,1,DENY
Finance Analyst,Product,Intern,Project Management System,1,1,1,1,0,0,1,90,0,REVIEW
Finance Analyst,Finance,Contractor,HR Database,0,1,3,0,0,1,0,30,1,DENY
Product Manager,IT,Employee,GitHub Project Alpha,0,1,1,1,0,0,0,14,1,DENY
Software Developer,Product,Employee,Finance System,0,1,3,1,1,0,0,180,0,DENY
HR Specialist,Product,Employee,Finance System,0,1,3,0,0,0,0,7,0,DENY
Finance Analyst,HR,Intern,Production Database,0,0,4,0,0,0,1,365,0,DENY
Finance Analyst,HR,Intern,GitHub Project Alpha,0,1,1,0,0,0,1,14,0,DENY
QA Engineer,Product,Employee,Production Database,0,0,4,0,0,0,0,30,0,DENY
Finance Analyst,Product,Employee,GitHub Project Alpha,1,1,1,1,1,0,0,7,0,ALLOW
Product Manager,Finance,Contractor,Project Management System,1,1,1,1,1,1,0,60,0,ALLOW
QA Engineer,IT,Intern,Finance System,0,1,3,0,1,0,1,90,1,DENY
HR Specialist,HR,Intern,Finance System,0,1,3,1,0,0,1,180,1,DENY
Finance Analyst,Finance,Intern,Finance System,1,1,3,0,1,0,1,60,0,REVIEW
Finance Analyst,HR,Employee,Finance System,0,1,3,1,1,0,0,60,0,DENY
Contractor,HR,Intern,Project Management System,1,1,1,1,1,0,1,180,0,ALLOW
System Administrator,Product,Intern,Development Server,0,1,2,0,0,0,1,180,1,DENY
Product Manager,Engineering,Intern,Admin Panel,0,0,4,0,0,0,1,14,1,DENY
QA Engineer,Product,Employee,Finance System,0,1,3,1,0,0,0,365,0,DENY
HR Specialist,HR,Intern,Admin Panel,0,0,4,1,1,0,1,90,1,DENY
DevOps Engineer,Engineering,Intern,Admin Panel,0,0,4,1,1,0,1,90,0,DENY
DevOps Engineer,IT,Intern,Production Database,1,1,4,1,1,0,1,60,1,ALLOW
Finance Analyst,Finance,Contractor,HR Database,0,1,3,0,0,1,0,365,0,DENY
QA Engineer,Product,Intern,Development Server,0,1,2,0,1,0,1,60,0,DENY
Finance Analyst,Engineering,Contractor,Project Management System,1,1,1,1,0,1,0,7,0,ALLOW
Contractor,Product,Intern,Admin Panel,0,0,4,0,0,0,1,7,1,DENY
Product Manager,Engineering,Contractor,Project Management System,1,1,1,1,1,1,0,7,0,ALLOW
Finance Analyst,Finance,Contractor,Admin Panel,0,0,4,0,1,1,0,60,0,DENY
DevOps Engineer,IT,Intern,GitHub Project Alpha,0,1,1,1,1,0,1,30,1,DENY
System Administrator,Product,Employee,Finance System,0,1,3,0,1,0,0,60,0,DENY
HR Specialist,Engineering,Employee,Admin Panel,0,0,4,0,0,0,0,180,0,DENY
Contractor,Finance,Contractor,HR Database,0,1,3,0,0,1,0,365,0,DENY
Contractor,Engineering,Contractor,Finance System,0,1,3,1,0,1,0,7,0,DENY
HR Specialist,IT,Employee,Development Server,0,1,2,0,1,0,0,14,0,DENY
Product Manager,HR,Employee,Production Database,0,0,4,0,0,0,0,14,0,DENY
QA Engineer,HR,Contractor,Finance System,0,1,3,1,1,1,0,90,0,DENY
Contractor,HR,Contractor,HR Database,1,1,3,0,0,1,0,365,0,REVIEW
System Administrator,Engineering,Intern,Admin Panel,0,1,4,1,1,0,1,90,0,DENY
Software Developer,Finance,Contractor,Production Database,0,0,4,1,1,1,0,14,1,DENY
DevOps Engineer,Product,Intern,Development Server,0,1,2,1,1,0,1,365,0,DENY
QA Engineer,HR,Employee,Development Server,0,1,2,1,1,0,0,14,0,DENY
System Administrator,Engineering,Contractor,HR Database,0,1,3,0,1,1,0,180,0,DENY
Software Developer,Finance,Contractor,Admin Panel,0,0,4,0,1,1,0,180,0,DENY
HR Specialist,Engineering,Employee,Admin Panel,0,0,4,0,1,0,0,30,0,DENY
QA Engineer,Engineering,Employee,Development Server,1,1,2,1,0,0,0,7,1,ALLOW
HR Specialist,Product,Intern,Finance System,0,1,3,1,1,0,1,90,1,DENY
DevOps Engineer,Finance,Contractor,Project Management System,1,1,1,1,1,1,0,14,0,ALLOW
QA Engineer,HR,Intern,Project Management System,1,1,1,1,0,0,1,90,0,REVIEW
Finance Analyst,Finance,Intern,Admin Panel,0,0,4,0,1,0,1,180,0,DENY
System Administrator,Finance,Contractor,GitHub Project Alpha,0,1,1,1,1,1,0,7,0,DENY
Product Manager,Product,Employee,GitHub Project Alpha,1,1,1,1,0,0,0,365,1,ALLOW
Contractor,Engineering,Contractor,GitHub Project Alpha,1,1,1,0,0,1,0,7,0,ALLOW
System Administrator,Finance,Intern,Admin Panel,0,1,4,1,1,0,1,7,0,DENY
Software Developer,Product,Employee,Production Database,0,0,4,1,1,0,0,180,0,DENY
Software Developer,Finance,Intern,Project Management System,1,1,1,1,0,0,1,90,1,REVIEW
Contractor,IT,Intern,Production Database,1,0,4,0,1,0,1,60,0,DENY
System Administrator,Finance,Employee,Finance System,1,1,3,1,0,0,0,14,0,REVIEW
Product Manager,HR,Intern,HR Database,1,1,3,1,1,0,1,180,1,REVIEW
Product Manager,IT,Intern,Admin Panel,1,0,4,1,1,0,1,60,0,DENY
Finance Analyst,Finance,Employee,Project Management System,1,1,1,1,0,0,0,30,1,ALLOW
DevOps Engineer,Product,Intern,Project Management System,1,1,1,1,1,0,1,365,1,ALLOW
System Administrator,HR,Intern,Admin Panel,0,1,4,1,1,0,1,90,0,DENY
DevOps Engineer,Product,Contractor,GitHub Project Alpha,1,1,1,0,0,1,0,90,0,ALLOW
QA Engineer,Product,Contractor,Admin Panel,0,0,4,1,0,1,0,90,1,DENY
Software Developer,Engineering,Intern,Development Server,1,1,2,1,1,0,1,30,1,ALLOW
DevOps Engineer,Product,Employee,HR Database,0,1,3,0,0,0,0,60,0,DENY
Contractor,Finance,Employee,Development Server,0,1,2,1,0,0,0,90,0,DENY
Product Manager,HR,Contractor,Admin Panel,0,0,4,1,1,1,0,14,0,DENY
Product Manager,Engineering,Employee,Development Server,1,1,2,1,0,0,0,60,0,REVIEW
Finance Analyst,Product,Contractor,GitHub Project Alpha,1,1,1,1,0,1,0,365,0,ALLOW
Contractor,HR,Intern,Development Server,0,1,2,1,0,0,1,14,1,DENY
Product Manager,Product,Contractor,Project Management System,1,1,1,1,1,1,0,180,0,ALLOW
System Administrator,HR,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,30,0,DENY
DevOps Engineer,Finance,Contractor,Finance System,1,1,3,1,0,1,0,60,0,REVIEW
DevOps Engineer,Finance,Intern,Development Server,0,1,2,0,1,0,1,365,0,DENY
Product Manager,IT,Intern,Project Management System,1,1,1,0,0,0,1,180,0,REVIEW
Software Developer,Finance,Employee,Production Database,0,0,4,0,0,0,0,30,0,DENY
System Administrator,Product,Intern,Production Database,0,1,4,1,1,0,1,180,0,DENY
QA Engineer,HR,Employee,Project Management System,1,1,1,1,0,0,0,14,0,ALLOW
Contractor,IT,Intern,Finance System,0,1,3,0,1,0,1,180,1,DENY
DevOps Engineer,Product,Contractor,Development Server,0,1,2,1,0,1,0,7,1,DENY
Software Developer,IT,Intern,GitHub Project Alpha,0,1,1,0,0,0,1,7,0,DENY
Product Manager,Product,Contractor,Development Server,0,1,2,0,1,1,0,30,0,DENY
Contractor,HR,Employee,Project Management System,1,1,1,0,1,0,0,30,0,ALLOW
QA Engineer,Finance,Contractor,Admin Panel,0,0,4,1,0,1,0,14,0,DENY
Software Developer,Engineering,Employee,Admin Panel,0,0,4,0,1,0,0,7,1,DENY
System Administrator,Finance,Employee,HR Database,0,1,3,1,1,0,0,7,0,DENY
Product Manager,Finance,Intern,Production Database,0,0,4,0,0,0,1,90,0,DENY
Contractor,Engineering,Contractor,Development Server,1,1,2,1,0,1,0,365,1,ALLOW
Finance Analyst,Finance,Contractor,Admin Panel,0,0,4,1,0,1,0,14,0,DENY
Software Developer,Finance,Employee,Admin Panel,0,0,4,1,1,0,0,60,0,DENY
Software Developer,HR,Intern,Finance System,0,1,3,1,0,0,1,14,0,DENY
DevOps Engineer,IT,Intern,Admin Panel,1,0,4,0,0,0,1,30,0,DENY
HR Specialist,Product,Intern,GitHub Project Alpha,1,1,1,1,0,0,1,180,0,REVIEW
Contractor,Product,Intern,GitHub Project Alpha,1,1,1,0,1,0,1,30,0,ALLOW
Product Manager,Finance,Intern,Development Server,0,1,2,0,1,0,1,60,0,DENY
DevOps Engineer,HR,Intern,Project Management System,1,1,1,0,0,0,1,30,0,REVIEW
Contractor,Engineering,Intern,Production Database,1,0,4,0,0,0,1,30,1,DENY
Contractor,HR,Intern,Project Management System,1,1,1,0,0,0,1,30,0,REVIEW
System Administrator,Engineering,Intern,Development Server,1,1,2,1,1,0,1,30,0,ALLOW
Finance Analyst,Engineering,Employee,Project Management System,1,1,1,0,0,0,0,30,1,ALLOW
DevOps Engineer,HR,Contractor,Production Database,0,1,4,1,1,1,0,7,0,DENY
Product Manager,Finance,Employee,GitHub Project Alpha,0,1,1,0,1,0,0,180,0,DENY
HR Specialist,IT,Intern,Admin Panel,1,0,4,0,0,0,1,365,1,DENY
System Administrator,Finance,Employee,Finance System,1,1,3,1,0,0,0,60,0,REVIEW
Contractor,Finance,Employee,Admin Panel,0,0,4,1,0,0,0,60,0,DENY
QA Engineer,Product,Intern,Development Server,0,1,2,0,1,0,1,30,0,DENY
HR Specialist,Finance,Intern,Finance System,1,1,3,1,1,0,1,7,0,REVIEW
Product Manager,Finance,Employee,GitHub Project Alpha,0,1,1,1,1,0,0,60,1,DENY
Finance Analyst,Engineering,Intern,GitHub Project Alpha,1,1,1,0,0,0,1,7,0,REVIEW
Contractor,HR,Contractor,Production Database,0,0,4,0,0,1,0,180,0,DENY
System Administrator,Product,Intern,Development Server,0,1,2,1,0,0,1,180,1,DENY
Contractor,Finance,Contractor,Production Database,0,0,4,0,1,1,0,90,1,DENY
DevOps Engineer,HR,Intern,Finance System,0,1,3,1,1,0,1,60,0,DENY
Product Manager,HR,Employee,Production Database,0,0,4,0,1,0,0,30,0,DENY
Product Manager,Product,Contractor,Project Management System,1,1,1,1,0,1,0,14,1,ALLOW
Software Developer,Product,Intern,Development Server,0,1,2,0,0,0,1,7,0,DENY
Product Manager,Finance,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,180,0,DENY
DevOps Engineer,Finance,Employee,GitHub Project Alpha,0,1,1,1,0,0,0,30,1,DENY
System Administrator,Product,Employee,Project Management System,1,1,1,0,1,0,0,30,0,ALLOW
System Administrator,HR,Intern,GitHub Project Alpha,0,1,1,0,1,0,1,30,1,DENY
Contractor,Engineering,Employee,Development Server,1,1,2,1,0,0,0,60,1,ALLOW
DevOps Engineer,Finance,Intern,Finance System,1,1,3,1,1,0,1,90,0,REVIEW
Finance Analyst,Finance,Intern,GitHub Project Alpha,0,1,1,1,1,0,1,90,0,DENY
DevOps Engineer,Engineering,Employee,Production Database,1,1,4,0,1,0,0,7,0,REVIEW
Product Manager,HR,Intern,Admin Panel,0,0,4,0,1,0,1,60,0,DENY
Software Developer,Finance,Contractor,Project Management System,1,1,1,1,1,1,0,365,0,ALLOW
DevOps Engineer,Engineering,Employee,HR Database,0,1,3,0,0,0,0,30,0,DENY
Software Developer,Finance,Contractor,Production Database,0,0,4,1,0,1,0,60,0,DENY
Product Manager,Engineering,Contractor,Production Database,1,0,4,0,0,1,0,7,0,DENY
Finance Analyst,Finance,Intern,Finance System,1,1,3,0,0,0,1,365,1,REVIEW
DevOps Engineer,Engineering,Employee,Project Management System,1,1,1,0,1,0,0,365,0,ALLOW
HR Specialist,Engineering,Employee,GitHub Project Alpha,1,1,1,1,0,0,0,365,0,ALLOW
Software Developer,Finance,Intern,Development Server,0,1,2,1,1,0,1,180,1,DENY
Software Developer,Product,Contractor,GitHub Project Alpha,1,1,1,0,0,1,0,90,0,ALLOW
System Administrator,Product,Employee,Project Management System,1,1,1,1,1,0,0,365,0,ALLOW
System Administrator,Engineering,Employee,Project Management System,1,1,1,0,1,0,0,7,1,ALLOW
Finance Analyst,Finance,Contractor,Finance System,1,1,3,1,1,1,0,60,0,ALLOW
HR Specialist,IT,Intern,Project Management System,1,1,1,0,0,0,1,90,0,REVIEW
Finance Analyst,HR,Contractor,Project Management System,1,1,1,0,1,1,0,180,0,ALLOW
HR Specialist,Engineering,Employee,HR Database,0,1,3,1,1,0,0,90,0,DENY
Software Developer,HR,Employee,Production Database,0,0,4,1,1,0,0,60,0,DENY
DevOps Engineer,Engineering,Contractor,GitHub Project Alpha,1,1,1,0,0,1,0,365,0,ALLOW
QA Engineer,Engineering,Employee,Development Server,1,1,2,0,1,0,0,60,0,ALLOW
Software Developer,Finance,Intern,Finance System,1,1,3,0,0,0,1,180,0,REVIEW
QA Engineer,Engineering,Contractor,Admin Panel,0,0,4,1,0,1,0,90,0,DENY
Contractor,IT,Intern,Project Management System,1,1,1,0,0,0,1,365,0,REVIEW
HR Specialist,Finance,Contractor,Admin Panel,0,0,4,0,1,1,0,90,0,DENY
System Administrator,Product,Employee,Finance System,0,1,3,1,0,0,0,14,0,DENY
Finance Analyst,IT,Intern,Development Server,0,1,2,0,0,0,1,7,0,DENY
System Administrator,Engineering,Intern,HR Database,0,1,3,1,1,0,1,90,0,DENY
HR Specialist,Finance,Employee,Development Server,0,1,2,1,1,0,0,365,1,DENY
Contractor,Finance,Contractor,Project Management System,1,1,1,1,0,1,0,30,0,ALLOW
Software Developer,IT,Employee,HR Database,0,1,3,1,0,0,0,30,0,DENY
Product Manager,Product,Employee,Production Database,0,0,4,1,1,0,0,7,0,DENY
Product Manager,Engineering,Intern,HR Database,0,1,3,1,0,0,1,30,1,DENY
System Administrator,IT,Contractor,Production Database,1,1,4,1,1,1,0,365,0,REVIEW
System Administrator,Engineering,Intern,Project Management System,1,1,1,1,1,0,1,7,0,ALLOW
QA Engineer,Engineering,Employee,Admin Panel,0,0,4,1,0,0,0,60,0,DENY
QA Engineer,Finance,Contractor,HR Database,0,1,3,0,1,1,0,14,0,DENY
Software Developer,Product,Intern,Development Server,0,1,2,0,0,0,1,60,0,DENY
Software Developer,IT,Contractor,GitHub Project Alpha,0,1,1,0,0,1,0,90,0,DENY
Software Developer,IT,Contractor,Development Server,0,1,2,1,0,1,0,60,1,DENY
HR Specialist,HR,Intern,Finance System,0,1,3,0,1,0,1,90,0,DENY
QA Engineer,HR,Contractor,Development Server,0,1,2,0,0,1,0,60,1,DENY
Product Manager,HR,Employee,HR Database,1,1,3,0,0,0,0,365,0,REVIEW
DevOps Engineer,IT,Intern,Admin Panel,1,0,4,0,0,0,1,90,1,DENY
HR Specialist,Engineering,Contractor,Development Server,1,1,2,0,0,1,0,14,0,REVIEW
Software Developer,HR,Intern,Development Server,0,1,2,0,1,0,1,14,0,DENY
Product Manager,Finance,Contractor,Development Server,0,1,2,1,0,1,0,180,0,DENY
Product Manager,IT,Contractor,GitHub Project Alpha,0,1,1,0,1,1,0,14,0,DENY
Contractor,Engineering,Employee,Finance System,0,1,3,0,1,0,0,365,1,DENY
QA Engineer,IT,Employee,Production Database,1,0,4,0,0,0,0,90,1,DENY
HR Specialist,HR,Employee,Development Server,0,1,2,1,1,0,0,7,0,DENY
DevOps Engineer,IT,Employee,Development Server,0,1,2,1,0,0,0,90,0,DENY
Contractor,Product,Contractor,HR Database,0,1,3,1,0,1,0,60,0,DENY
DevOps Engineer,HR,Contractor,Production Database,0,1,4,1,0,1,0,90,0,DENY
System Administrator,Engineering,Intern,Finance System,0,1,3,0,0,0,1,180,0,DENY
DevOps Engineer,Product,Intern,Development Server,0,1,2,1,1,0,1,14,1,DENY
Finance Analyst,IT,Employee,Development Server,0,1,2,0,1,0,0,14,1,DENY
QA Engineer,Engineering,Contractor,GitHub Project Alpha,1,1,1,1,1,1,0,14,1,ALLOW
Software Developer,HR,Employee,GitHub Project Alpha,0,1,1,1,0,0,0,365,0,DENY
Product Manager,Product,Intern,Development Server,0,1,2,0,0,0,1,180,1,DENY
Software Developer,IT,Intern,Finance System,0,1,3,0,1,0,1,14,0,DENY
Finance Analyst,Engineering,Intern,HR Database,0,1,3,1,1,0,1,90,1,DENY
Software Developer,Finance,Intern,Admin Panel,0,0,4,0,0,0,1,60,1,DENY
Contractor,HR,Contractor,Admin Panel,0,0,4,1,1,1,0,30,0,DENY
Product Manager,Product,Intern,Development Server,0,1,2,0,1,0,1,180,0,DENY
Finance Analyst,Product,Contractor,Project Management System,1,1,1,0,1,1,0,60,0,ALLOW
Finance Analyst,HR,Contractor,Production Database,0,0,4,0,1,1,0,180,0,DENY
Contractor,HR,Employee,Project Management System,1,1,1,1,0,0,0,7,0,ALLOW
Product Manager,Engineering,Intern,HR Database,0,1,3,0,0,0,1,365,1,DENY
Software Developer,Finance,Intern,Admin Panel,0,0,4,1,0,0,1,14,0,DENY
DevOps Engineer,IT,Intern,GitHub Project Alpha,0,1,1,1,1,0,1,7,1,DENY
Product Manager,Product,Contractor,Production Database,0,0,4,0,0,1,0,14,0,DENY
Product Manager,Engineering,Employee,Development Server,1,1,2,1,0,0,0,14,0,REVIEW
Contractor,Product,Employee,Development Server,0,1,2,1,1,0,0,7,0,DENY
Finance Analyst,Product,Employee,Admin Panel,0,0,4,0,1,0,0,365,1,DENY
Product Manager,IT,Intern,GitHub Project Alpha,0,1,1,0,1,0,1,60,0,DENY
Product Manager,IT,Employee,Finance System,0,1,3,0,1,0,0,60,0,DENY
DevOps Engineer,Product,Intern,Project Management System,1,1,1,1,1,0,1,90,1,ALLOW
Product Manager,Engineering,Employee,HR Database,0,1,3,0,0,0,0,7,0,DENY
HR Specialist,IT,Intern,Development Server,0,1,2,0,1,0,1,180,0,DENY
HR Specialist,IT,Contractor,Development Server,0,1,2,1,0,1,0,60,0,DENY
Software Developer,HR,Employee,HR Database,1,1,3,0,0,0,0,60,0,REVIEW
Finance Analyst,HR,Employee,Project Management System,1,1,1,0,1,0,0,7,0,ALLOW
QA Engineer,IT,Contractor,GitHub Project Alpha,0,1,1,1,1,1,0,7,1,DENY
QA Engineer,Finance,Contractor,GitHub Project Alpha,0,1,1,1,1,1,0,7,1,DENY
DevOps Engineer,IT,Intern,Production Database,1,1,4,0,1,0,1,7,0,REVIEW
Product Manager,HR,Intern,Project Management System,1,1,1,0,1,0,1,7,0,ALLOW
Finance Analyst,Engineering,Employee,Project Management System,1,1,1,1,1,0,0,60,0,ALLOW
Product Manager,HR,Contractor,Project Management System,1,1,1,0,1,1,0,90,0,ALLOW
Contractor,IT,Intern,Admin Panel,1,0,4,1,0,0,1,365,1,DENY
HR Specialist,Product,Contractor,Production Database,0,0,4,1,1,1,0,180,0,DENY
HR Specialist,IT,Intern,Production Database,1,0,4,1,0,0,1,365,0,DENY
DevOps Engineer,IT,Intern,Production Database,1,1,4,1,0,0,1,60,0,REVIEW
System Administrator,HR,Contractor,Finance System,0,1,3,1,1,1,0,365,0,DENY
Finance Analyst,Product,Employee,Finance System,0,1,3,1,1,0,0,30,1,DENY
Finance Analyst,HR,Contractor,Production Database,0,0,4,1,1,1,0,365,0,DENY
HR Specialist,Engineering,Intern,Finance System,0,1,3,0,1,0,1,60,0,DENY
System Administrator,IT,Intern,Development Server,0,1,2,1,0,0,1,14,0,DENY
